nb_occurrences	nb_indels
1	137668
2	34156
3	19688
4	13215
5	9425
6	7420
7	5883
8	4939
9	4105
10	3535
11	3173
12	2733
13	2413
14	2156
15	2055
16	1853
17	1633
18	1487
19	1369
20	1305
21	1226
22	1108
23	1056
24	950
25	937
26	838
27	706
28	667
29	684
30	631
31	642
32	564
33	559
34	521
35	505
36	454
37	468
38	430
39	379
40	447
41	391
42	384
43	360
44	393
45	369
46	317
47	294
48	279
49	289
50	259
51	237
52	255
53	244
54	259
55	237
56	215
57	230
58	214
59	204
60	182
61	191
62	170
63	172
64	175
65	155
66	158
67	147
68	149
69	151
70	155
71	149
72	133
73	125
74	125
75	126
76	122
77	124
78	131
79	112
80	118
81	103
82	95
83	110
84	91
85	115
86	106
87	98
88	74
89	92
90	98
91	86
92	102
93	107
94	90
95	95
96	82
97	68
98	62
99	78
100	60
101	73
102	65
103	54
104	62
105	56
106	66
107	51
108	52
109	72
110	68
111	52
112	58
113	48
114	55
115	51
116	67
117	47
118	55
119	47
120	46
121	42
122	52
123	53
124	47
125	43
126	48
127	47
128	45
129	28
130	42
131	32
132	41
133	35
134	34
135	32
136	43
137	29
138	38
139	21
140	39
141	41
142	38
143	36
144	40
145	35
146	29
147	40
148	67
149	46
150	44
151	46
152	29
153	24
154	31
155	32
156	27
157	30
158	25
159	23
160	43
161	38
162	27
163	32
164	23
165	28
166	26
167	27
168	23
169	29
170	32
171	28
172	30
173	28
174	21
175	35
176	28
177	27
178	21
179	29
180	29
181	29
182	25
183	26
184	30
185	27
186	32
187	38
188	38
189	39
190	33
191	24
192	24
193	19
194	21
195	25
196	10
197	21
198	22
199	22
200	22
201	25
202	13
203	23
204	15
205	15
206	19
207	19
208	18
209	15
210	17
211	18
212	14
213	23
214	29
215	29
216	14
217	16
218	16
219	18
220	20
221	34
222	15
223	28
224	19
225	17
226	15
227	21
228	17
229	13
230	18
231	14
232	12
233	8
234	21
235	21
236	13
237	18
238	21
239	13
240	8
241	21
242	10
243	9
244	16
245	19
246	12
247	22
248	9
249	12
250	17
251	11
252	19
253	18
254	9
255	8
256	20
257	12
258	11
259	5
260	6
261	11
262	10
263	13
264	18
265	11
266	10
267	11
268	10
269	11
270	15
271	18
272	9
273	6
274	12
275	15
276	11
277	13
278	20
279	10
280	8
281	15
282	7
283	12
284	11
285	11
286	14
287	23
288	7
289	15
290	11
291	9
292	9
293	18
294	11
295	9
296	11
297	17
298	13
299	6
300	11
301	15
302	10
303	7
304	14
305	7
306	10
307	15
308	9
309	7
310	12
311	13
312	15
313	8
314	13
315	17
316	27
317	9
318	18
319	12
320	14
321	12
322	10
323	11
324	18
325	19
326	16
327	13
328	6
329	8
330	13
331	13
332	40
333	19
334	9
335	7
336	8
337	16
338	16
339	12
340	10
341	12
342	13
343	11
344	9
345	8
346	10
347	9
348	13
349	8
350	9
351	11
352	5
353	9
354	7
355	9
356	5
357	8
358	4
359	5
360	11
361	7
362	8
363	9
364	9
365	12
366	2
367	5
368	5
369	8
370	7
371	8
372	4
373	10
374	6
376	8
377	12
378	9
379	5
380	6
381	5
382	7
383	4
384	9
385	6
386	7
387	7
388	7
389	5
390	5
391	8
392	11
393	9
394	5
395	4
396	5
397	7
398	5
399	7
400	11
401	6
402	8
403	3
404	4
405	8
406	4
407	5
408	5
409	6
410	2
411	9
412	10
413	6
414	6
415	9
416	6
417	9
418	7
419	6
420	10
421	4
422	8
423	11
424	8
425	5
426	6
427	9
428	9
429	8
430	2
431	6
432	6
433	8
434	9
435	6
436	11
437	3
438	6
439	5
440	6
441	3
442	7
443	9
444	3
445	6
446	11
447	6
448	7
449	7
450	6
451	8
452	8
453	7
454	4
455	6
456	4
457	4
458	7
459	5
460	7
461	7
462	10
463	10
464	10
465	6
466	4
467	3
468	5
469	6
470	8
471	7
472	10
473	2
474	4
475	5
476	6
477	4
478	8
479	1
480	10
481	6
482	5
483	7
484	10
485	4
486	7
487	10
488	3
489	2
490	4
491	8
492	9
493	10
494	8
495	10
496	4
497	8
498	6
499	9
500	8
501	10
502	6
503	11
504	8
505	2
506	8
507	13
508	6
509	8
510	2
511	4
512	3
513	12
514	13
515	3
516	5
517	5
518	5
519	11
520	9
521	6
522	8
523	6
524	3
525	10
526	8
527	6
528	9
529	6
530	8
531	4
532	1
533	7
534	10
535	3
536	9
537	15
538	11
539	11
540	9
541	13
542	6
543	10
544	10
545	8
546	10
547	8
548	12
549	11
550	8
551	9
552	6
553	5
554	10
555	15
556	11
557	19
558	9
559	17
560	16
561	20
562	22
563	28
564	14
565	21
566	72
567	16
568	12
569	20
570	19
571	95
